expt,t0,t1
99.28890385399842,927125914.995,927126034.995
108.6275776809268,927126034.995,927126154.995
108.873830643056,927126154.995,927126274.995
109.0293798678084,927126274.995,927126394.995
109.1275151074718,927126394.995,927126514.995
109.2001749321,927126514.995,927126634.995
109.2367187816012,927126634.995,927126754.995
109.2718832992385,927126754.995,927126874.995
109.2443754809266,927126874.995,927126994.995
109.2093123019568,927126994.995,927127114.995
109.129446172081,927127114.995,927127234.995
109.0201693089139,927127234.995,927127354.995
108.8324450572167,927127354.995,927127474.995
108.5378648105215,927127474.995,927127594.995
11.53772744579759,927127594.995,927127714.995
