expt,t0,t1
112.0568574393101,791373646.995,791373766.995
118.1871394237253,791373766.995,791373886.995
114.279112304867,791373886.995,791374006.995
118.2441041924234,791374006.995,791374126.995
118.2485379351002,791374126.995,791374246.995
118.2610743558896,791374246.995,791374366.995
118.254014596742,791374366.995,791374486.995
118.2351939206506,791374486.995,791374606.995
118.2069923221768,791374606.995,791374726.995
118.1286931752667,791374726.995,791374846.995
118.019234818664,791374846.995,791374966.995
37.28772445252534,791374966.995,791375086.995
